gauge,name,a,p,e,x,z0,z1,z1_err,u1,u1_err,lmax_cut,z1_lmax
IRG,a50-pi4_ej2,0.5,14.91556278307229,0.45,1,0.9150796409691649,0.049302395977591146,3.0715227169389005e-07,-0.05887761904490738,3.6680558993097293e-07,18,7.008509747180641e-17
IRG,a50-pi5_ej2,0.5,24.91556278307229,0.45,1,0.9503067274913743,0.03060913834485053,2.119982702230062e-07,-0.03389405241492092,2.3474951832546358e-07,17,5.676413716699982e-18
IRG,a50-pi6_ej2,0.5,44.91556278307229,0.45,1,0.9728429452431812,0.01735395641009066,5.3763879081593276e-08,-0.018336356097524206,5.680742815805982e-08,18,1.841278009044461e-19
IRG,a50-pi7_ej2,0.5,84.91556278307229,0.45,1,0.9857631217624767,0.009285995532226431,3.504484774519273e-08,-0.009556158332083196,3.606442762271236e-08,16,7.653734009150259e-21
IRG,a50-pi8_ej2,0.5,164.9155627830723,0.45,1,0.9927059257249979,0.004809114618408364,5.873200839830061e-09,-0.004880045816091453,5.959826591732049e-09,17,1.1926584492470616e-22
IRG,a50-pi0_ej3,0.5,5.423155879172126,0.6,1,0.7511563518421198,0.11027262847601006,3.93878606422914e-05,-0.19543711297589975,6.980743885960037e-05,13,-4.4038655612665386e-12
IRG,a50-pi1_ej3,0.5,6.323155879172126,0.6,1,0.8108242056384346,0.0885446542052036,1.1578763664010092e-05,-0.13468180733993868,1.76120041467082e-05,13,-3.9126929990098355e-13
IRG,a50-pi2_ej3,0.5,7.323155879172126,0.6,1,0.8446139613798693,0.07647103875870995,4.2170115989246554e-06,-0.10719646836503391,5.911371910161481e-06,13,-6.39534206142341e-14
IRG,a50-pi3_ej3,0.5,10.323155879172127,0.6,1,0.8964710962953949,0.05609339931708742,2.4426616039468596e-07,-0.0697973888820956,3.039420037895733e-07,13,8.108598318140658e-16
IRG,a50-pi4_ej3,0.5,15.323155879172127,0.6,1,0.9328904285249086,0.039153314836345904,5.643758289804396e-07,-0.044989095535318054,6.484957453527066e-07,13,3.585369042354301e-16
IRG,a50-pi5_ej3,0.5,25.323155879172127,0.6,1,0.960509872223702,0.02437422316275904,3.118587156795289e-07,-0.02641965348448854,3.3802920197101165e-07,13,2.4725233148091513e-17
IRG,a50-pi6_ej3,0.5,45.32315587917213,0.6,1,0.9783290628803025,0.013859714446036127,1.3709751830958138e-07,-0.014480527149728166,1.4323847318586182e-07,13,6.670250326510863e-19
IRG,a50-pi7_ej3,0.5,85.32315587917212,0.6,1,0.9886096623433208,0.0074318955634768286,3.5941126465859496e-08,-0.007604136365999201,3.677409410018153e-08,13,1.7710204749787413e-20
IRG,a50-pi8_ej3,0.5,165.32315587917213,0.6,1,0.9941557724102591,0.0038537776804522033,1.1133952138181139e-08,-0.003899220365067778,1.1265240634169548e-08,13,4.898820677420304e-22
IRG,a90-pi0_ej0,0.9,2.5050765553978955,0.1,1,0.40823928983014945,0.10632324038357067,1.3908492001137933e-05,-0.6379675724823806,8.345463180811482e-05,39,-1.5358533020579397e-13
IRG,a90-pi1_ej0,0.9,3.4050765553978954,0.1,1,0.5585779814836507,0.12205788110508663,2.2879729492687195e-06,-0.3911994196521959,7.333026608607461e-06,39,-7.688335908756051e-15
IRG,a90-pi2_ej0,0.9,4.405076555397896,0.1,1,0.6551012136505123,0.12305256821999475,5.777290225670553e-07,-0.28673048824897757,1.3461931523452719e-06,39,-8.708135842309162e-16
IRG,a90-pi3_ej0,0.9,7.405076555397896,0.1,1,0.7934188560987215,0.09949468129624173,4.347906994240277e-08,-0.15805012007769292,6.906773443298362e-08,39,-8.545177279912263e-18
IRG,a90-pi4_ej0,0.9,12.405076555397896,0.1,1,0.8771142515380376,0.06863838548103032,1.3908313593178548e-08,-0.08921846034538666,1.8078489406297963e-08,39,3.602038948764319e-19
IRG,a90-pi5_ej0,0.9,22.405076555397894,0.1,1,0.9324519237437032,0.04110788336749283,1.0818180035015421e-08,-0.04727942837122713,1.2442318265333397e-08,39,2.815147091397382e-20
IRG,a90-pi6_ej0,0.9,42.4050765553979,0.1,1,0.9645572612418855,0.022570910455106195,4.280965933525029e-09,-0.024260125783520946,4.60135501529093e-09,39,9.338372098480328e-22
IRG,a90-pi7_ej0,0.9,82.4050765553979,0.1,1,0.9818526950436125,0.011825760122711798,1.3542443571950252e-09,-0.01226694427243922,1.4047672106143825e-09,39,2.21600922222676e-23
IRG,a90-pi8_ej0,0.9,162.4050765553979,0.1,1,0.9908207817735083,0.006050709122271802,3.85890801372769e-10,-0.006163339080198379,3.930739040214961e-10,39,4.427517579702172e-25
IRG,a90-pi0_ej1,0.9,2.6520532312987117,0.25,1,0.43050165120059536,0.10913710329288318,4.0140612112936115e-05,-0.5888745420563153,0.00021658797844790198,26,-2.720430729323e-12
IRG,a90-pi1_ej1,0.9,3.5520532312987116,0.25,1,0.5854915450066732,0.11870229446325165,9.038545081916561e-06,-0.34627238482849004,2.6366790760426318e-05,25,-1.786222174969339e-13
IRG,a90-pi2_ej1,0.9,4.552053231298712,0.25,1,0.6766721489636794,0.11746565775410409,2.069853936054715e-06,-0.2565395397727294,4.520464843127282e-06,28,-9.581976049903706e-15
IRG,a90-pi3_ej1,0.9,7.552053231298712,0.25,1,0.8059854102311131,0.09389221196273914,2.9028988214878063e-07,-0.1445357265075215,4.468662324283874e-07,25,-2.585167211872499e-16
IRG,a90-pi4_ej1,0.9,12.55205323129871,0.25,1,0.8842865501820969,0.06471107513072284,4.436122727515466e-08,-0.0827546824116836,5.6730617859956004e-08,28,3.969599554716793e-18
