PNorder,p,e,u1
3,12.093855751666636,0.6,-0.056521403
3,22.093855751666638,0.6,-0.030083962
3,42.09385575166664,0.6,-0.015543532
3,82.09385575166664,0.6,-0.007893187
3,162.09385575166664,0.6,-0.003974909
4,1.615631562979778,0.1,-13.83803747
4,2.515631562979778,0.1,-1.778795255
4,3.515631562979778,0.1,-0.57110777
4,6.515631562979777,0.1,-0.187472835
4,11.515631562979777,0.1,-0.096455728
4,21.515631562979777,0.1,-0.049231028
4,41.51563156297978,0.1,-0.024774037
4,81.51563156297978,0.1,-0.012399
4,161.5156315629798,0.1,-0.006196845
4,1.739068657913204,0.25,-11.02855775
4,2.639068657913204,0.25,-1.601431559
4,3.639068657913204,0.25,-0.527733589
4,6.639068657913204,0.25,-0.172638527
4,11.639068657913203,0.25,-0.089601887
4,21.639068657913203,0.25,-0.046129091
4,41.63906865791321,0.25,-0.023331936
4,81.63906866,0.25,-0.01170879
4,161.6390686579132,0.25,-0.005859976
4,1.9323848163495112,0.45,-7.812645239
4,2.832384816349511,0.45,-1.311404535
4,3.832384816349511,0.45,-0.438635143
4,6.832384816349511,0.45,-0.139430684
4,11.832384816349512,0.45,-0.073375082
4,21.83238481634951,0.45,-0.038411125
4,41.83238481634951,0.45,-0.019627331
4,81.83238481634952,0.45,-0.009903579
4,161.8323848163495,0.45,-0.004970492
4,2.193855751666636,0.6,-4.142511639
4,3.093855751666636,0.6,-0.850241857
4,4.093855751666636,0.6,-0.310901532
4,7.093855751666636,0.6,-0.1040984
4,12.093855751666636,0.6,-0.056234242
4,22.093855751666638,0.6,-0.030045536
4,42.09385575166664,0.6,-0.015540611
4,82.09385575166664,0.6,-0.007893013
4,162.09385575166664,0.6,-0.0039749
5,1.615631562979778,0.1,-31.90774114
5,2.515631562979778,0.1,-2.475275978
5,3.515631562979778,0.1,-0.593854822
5,6.515631562979777,0.1,-0.183918464
5,11.515631562979777,0.1,-0.096170685
5,21.515631562979777,0.1,-0.049218443
5,41.51563156297978,0.1,-0.024773628
5,81.51563156297978,0.1,-0.012398989
5,161.5156315629798,0.1,-0.006196844
5,1.739068657913204,0.25,-27.8556662
5,2.639068657913204,0.25,-2.474925177
5,3.639068657913204,0.25,-0.58648264
5,6.639068657913204,0.25,-0.169828277
5,11.639068657913203,0.25,-0.089314724
5,21.639068657913203,0.25,-0.046115262
5,41.63906865791321,0.25,-0.023331466
5,81.63906866,0.25,-0.011708777
5,161.6390686579132,0.25,-0.005859975
5,1.9323848163495112,0.45,-21.61746254
5,2.832384816349511,0.45,-2.294572289
5,3.832384816349511,0.45,-0.535978489
5,6.832384816349511,0.45,-0.137753901
5,11.832384816349512,0.45,-0.073091892
5,21.83238481634951,0.45,-0.038395549
5,41.83238481634951,0.45,-0.019626768
5,81.83238481634952,0.45,-0.009903562
