,gauge,name,a,p,e,x,z0,z1,z1_err,lmax_cut,z1_lmax
0,ORG,paper-15,0.5,8.0,0.1,0.8,0.800245917211203,0.08797585582051845,7.832637685698177e-06,13,-1.683746626243396e-13
1,IRG,test-5,0.5,12.5,0.1,0.8,0.875335581111715,0.06543869612719946,3.110293143239541e-07,22,-1.3240871014753834e-16
2,ORG,test-5,0.5,12.5,0.1,0.8,0.875335581111715,0.0654386964628499,3.108879359858088e-07,22,-1.324427270499874e-16
3,SRG,test-5,0.5,12.5,0.1,0.8,0.875335581111715,0.06543864486490258,3.750201483276925e-07,20,-2.4880878742281195e-16
4,ORG,paper-14,0.5,8.0,0.4,0.8,0.8235630949631697,0.07717648575720036,8.881725078433483e-05,13,-1.189010014996075e-13
5,ORG,paper-26,0.5,8.0,0.6,0.8,0.8587290143728139,0.06161783755987588,0.00037048482872593025,14,8.431198176080102e-13
6,ORG,paper-17,0.9,100.5,0.0,0.99,0.9849879355191927,0.15284415949411365,0.03468878816857448,12,-8.854862725548322e-07
7,ORG,paper-18,0.9,100.5,0.0,0.97,0.9849874438411846,0.15283685458205268,0.03468875072681455,12,-8.854839719817385e-07
8,ORG,paper-19,0.9,100.5,0.0,0.95,0.9849869511564799,0.15282968087363846,0.03468871350931021,12,-8.854816904804301e-07
9,ORG,paper-20,0.9,100.5,0.0,0.9,0.9849857150386062,0.1528123251408408,0.03468862144655984,12,-8.85476070158375e-07
10,ORG,paper-3,0.9,6.5,0.0,0.99,0.7628104038294248,1.731445817326612,0.3957463176252251,12,-0.002198377638876132
11,ORG,paper-4,0.9,10.5,0.0,0.99,0.8532650175784481,1.2301622819216673,0.28011542451984106,12,-0.0006223329070510041
12,ORG,paper-5,0.9,30.5,0.0,0.99,0.9500764449339757,0.48243142482197743,0.10955363153517281,12,-2.999390219103578e-05
13,ORG,paper-6,0.9,30.5,0.0,0.97,0.9500673820015283,0.4823481444881106,0.10955162219959642,12,-2.99928543365155e-05
14,ORG,paper-7,0.9,30.5,0.0,0.95,0.9500582801163358,0.48226602386168776,0.10954961557164068,12,-2.9991811157006068e-05
15,ORG,paper-8,0.9,30.5,0.0,0.9,0.9500353546067444,0.48206589321695015,0.10954461077949348,12,-2.9989223623072154e-05
16,ORG,paper-9,0.9,50.5,0.0,0.99,0.9699907611082854,0.29868352040849105,0.0678022458085999,12,-6.8195908930048025e-06
17,ORG,paper-1,0.9,6.5,0.25,0.031410759078128396,0.7466039821284756,0.04316224648462715,1.535867572574787e-05,21,-1.618526530951688e-13
18,ORG,paper-21,0.9,6.5,0.25,0.8,0.7704782347117044,0.08792409184952427,1.2657424940434666e-05,15,-1.6799091755859489e-13
19,ORG,paper-22,0.9,6.5,0.25,0.3,0.7579186066630457,0.05531009663826798,2.407685646583208e-05,19,-2.353289267605259e-13
20,IRG,paper-comp-0,0.9,3.605272465834475,0.3,1.0,0.597044290889259,0.11659485350874325,1.2254324707838633e-05,23,-3.397986476459659e-13
21,ORG,paper-comp-0,0.9,3.605272465834475,0.3,1.0,0.597044290889259,0.1165945605049393,1.1027782153233299e-05,23,-3.2936572974872176e-13
22,SRG,paper-comp-0,0.9,3.605272465834475,0.3,1.0,0.597044290889259,0.11659440790049487,9.419234297666122e-06,25,-1.716494476559249e-13
23,IRG,paper-comp-2,0.9,10.553556600050072,0.3,-1.0,0.8431230717949204,0.09332069253425462,4.991746668845321e-07,26,7.106854918192157e-16
24,ORG,paper-comp-2,0.9,10.553556600050072,0.3,-1.0,0.8431230717949204,0.09332061404461113,4.827370647055189e-07,26,7.375680317561554e-16
