,gauge,name,a,p,e,x,z0,z1,z1_err,lmax_cut,z1_lmax
0,ORG,paper-15,0.5,8.0,0.1,0.8,0.800245917211203,0.08797585582051849,7.83263768694262e-06,13,-1.683746626302115e-13
1,IRG,test-5,0.5,12.5,0.1,0.8,0.875335581111715,0.06543869612719765,3.1102931124760905e-07,22,-1.3240870933987215e-16
2,ORG,test-5,0.5,12.5,0.1,0.8,0.875335581111715,0.06543869646284887,3.108879346923408e-07,22,-1.3244272654553532e-16
3,SRG,test-5,0.5,12.5,0.1,0.8,0.875335581111715,0.06543864486490349,3.7502014822500767e-07,20,-2.488087879183682e-16
4,ORG,paper-14,0.5,8.0,0.4,0.8,0.8235630949631697,0.07717648575719999,8.88172507828e-05,13,-1.189010014920132e-13
5,IRG,paper-16,0.5,8.0,0.6,0.8,0.8587290143728139,0.06161783755987598,0.0003704848287287033,14,8.431198176097383e-13
6,ORG,paper-26,0.5,8.0,0.6,0.8,0.8587290143728139,0.06161783755987598,0.0003704848287287033,14,8.431198176097383e-13
7,ORG,paper-17,0.9,100.5,0.0,0.99,0.9849879355191927,0.009820771444783646,1.1686266937346757e-08,19,1.936619886827627e-21
8,ORG,paper-18,0.9,100.5,0.0,0.97,0.9849874438411846,0.009813796986114653,6.269860946871384e-09,22,5.612396222118313e-22
9,ORG,paper-19,0.9,100.5,0.0,0.95,0.9849869511564799,0.009806953714122806,4.785889571056435e-09,23,3.5409639104041496e-22
10,ORG,paper-20,0.9,100.5,0.0,0.9,0.9849857150386062,0.009790421554486903,3.365057690901972e-09,23,2.4439913888100997e-22
11,ORG,paper-3,0.9,6.5,0.0,0.99,0.7628104038294248,0.1072216481469902,9.128203453056487e-07,21,-4.406658070082483e-15
12,ORG,paper-4,0.9,10.5,0.0,0.99,0.8532650175784481,0.07863000791407734,4.2227754608968594e-08,21,3.09929653687387e-17
13,ORG,paper-5,0.9,30.5,0.0,0.99,0.9500764449339757,0.031145627028456014,6.095494645556698e-08,21,6.953238327442231e-19
14,ORG,paper-6,0.9,30.5,0.0,0.97,0.9500673820015283,0.03107384973589392,3.837816463668436e-08,23,2.9981640911677216e-19
15,ORG,paper-7,0.9,30.5,0.0,0.95,0.9500582801163358,0.031003234367665517,3.2638588280498256e-08,23,2.562415453521871e-19
16,ORG,paper-8,0.9,30.5,0.0,0.9,0.9500353546067444,0.030831865973566408,1.824317404681662e-08,23,1.4475098610766816e-19
17,ORG,paper-9,0.9,50.5,0.0,0.99,0.9699907611082854,0.01924560756580315,2.7559162905357208e-08,21,4.417158260021592e-20
18,ORG,paper-1,0.9,6.5,0.25,0.031410759078128396,0.7466039821284756,0.04316224648462632,1.535867572663966e-05,21,-1.6185265309087456e-13
19,ORG,paper-21,0.9,6.5,0.25,0.8,0.7704782347117044,0.08792409184952311,1.2657424940918354e-05,15,-1.6799091752635897e-13
20,ORG,paper-22,0.9,6.5,0.25,0.3,0.7579186066630457,0.05531009663826798,2.407685646619953e-05,19,-2.3532892675819214e-13
21,ORG,paper-2,0.9,6.5,0.7,0.5,0.8533660336051628,0.037172276948035994,0.008995232083265914,12,-4.4585338335803096e-11
22,ORG,paper-12,0.999,32.50916332614269,0.1,0.7,0.9535640050538956,0.028223270834395072,1.8966610658942933e-07,15,-5.1980981404546584e-18
23,ORG,paper-0,0.999,2.50916332614269,0.25,0.7,0.3970072276035527,-0.12628688047604578,0.0001375104463798868,21,-5.965695497372859e-11
24,ORG,paper-10,0.999,12.50916332614269,0.25,0.7,0.8831419281071734,0.05940342570869921,6.173616125516385e-06,15,-7.718158550366146e-15
25,ORG,paper-11,0.999,32.50916332614269,0.25,0.7,0.9559299590196991,0.026794867383776354,1.8673540633294003e-06,12,-1.6754734674913175e-17
26,ORG,paper-13,0.999,2.60916332614269,0.25,0.7,0.42476174610118544,-0.0941147140997082,0.00031465093473766106,18,-1.723864724338249e-10
27,ORG,paper-23,0.999,3.40916332614269,0.25,0.7,0.5608314854066639,0.020166550706158227,3.8177298404302215e-05,21,-2.994356870024013e-12
