"p","e","z1","z1err"
1.615631562979778,0.1,-0.028666940956608693,0.00004245795215834844
2.515631562979778,0.1,0.08273832276749721,0.000006311016417204205
3.515631562979778,0.1,0.11525719940544489,0.0000012287767275604958
6.515631562979777,0.1,0.10522330321377865,9.543304288934599e-8
11.515631562979777,0.1,0.07236086071376845,9.451886705500178e-9
21.515631562979777,0.1,0.04254332535885322,1.0729821256918619e-8
41.51563156297978,0.1,0.02301312447168146,4.327962553021248e-9
81.51563156297978,0.1,0.011948312291189086,1.3680682264134174e-9
161.5156315629798,0.1,0.006082988968488522,3.8940559488392327e-10
1.739068657913204,0.25,-0.022310677117386022,0.0004407073141175818
2.639068657913204,0.25,0.08330325959832131,0.00002726506287849925
3.639068657913204,0.25,0.11125660467953505,0.0000042815023786143246
6.639068657913204,0.25,0.09957497337050544,2.931081266095539e-7
11.639068657913203,0.25,0.06832269434291029,3.52376462239608e-8
21.639068657913203,0.25,0.040193810948936676,3.5070800978876675e-8
41.63906865791321,0.25,0.021761876011025458,1.1450069717123422e-8
81.6390686579132,0.25,0.011305839723118383,4.3401558657627144e-9
161.6390686579132,0.25,0.005758030899709214,1.3315649792818535e-9
1.9323848163495112,0.45,-2.1665210438221507,3.6271995265627868
2.832384816349511,0.45,0.0771242691566757,0.00012010672296790302
3.832384816349511,0.45,0.098653128311782,0.00003775141556544161
6.832384816349511,0.45,0.08552464547800546,0.0000012537259329432512
11.832384816349512,0.45,0.05822206019296364,9.96278490425168e-8
21.83238481634951,0.45,0.03418021499284941,1.3821859226513654e-7
41.83238481634951,0.45,0.018501277995082777,7.583799621969358e-8
81.83238481634952,0.45,0.009613375263159784,2.2010476313450094e-8
161.8323848163495,0.45,0.004896902901534617,5.4547308807482755e-9
2.193855751666636,0.6,285157.8071993197,484848.6295098551
3.093855751666636,0.6,0.07121735144089673,0.00026988216023172783
4.093855751666636,0.6,0.08361066187307938,0.00005781595210676344
7.093855751666636,0.6,0.06927065627705274,0.000003356672218771104
12.093855751666636,0.6,0.046716495788941666,1.1395300423813682e-7
22.093855751666638,0.6,0.027378504522218218,2.1756239858605666e-7
42.09385575166664,0.6,0.014824518072557712,1.281236273960845e-7
82.09385575166664,0.6,0.007707376380180335,3.679645543740547e-8
162.09385575166664,0.6,0.0039276796402807216,1.1441351333815856e-8
