"p","e","U1","U1err"
1.615631562979778,0.1,0.6191169456493022,0.0009169599818337427
2.515631562979778,0.1,-0.4217536207263785,0.0000321700263600836
3.515631562979778,0.1,-0.33864598748133795,0.000003610362827184512
6.515631562979777,0.1,-0.1785265100330393,1.619159213644351e-7
11.515631562979777,0.1,-0.09602047456440979,1.2542341785860964e-8
21.515631562979777,0.1,-0.04921556319845577,1.2412621526965823e-8
41.51563156297978,0.1,-0.024773584173497086,4.65904335323752e-9
81.51563156297978,0.1,-0.012398988729445346,1.4196701682229078e-9
161.5156315629798,0.1,-0.006196844355965736,3.9669410471370854e-10
1.739068657913204,0.25,0.39294247582674835,0.0077618721392086745
2.639068657913204,0.25,-0.3715546373130005,0.00012160941358099132
3.639068657913204,0.25,-0.3012570158422064,0.00001159331289695484
6.639068657913204,0.25,-0.16312816663867383,4.801828180541156e-7
11.639068657913203,0.25,-0.08911672946363312,4.596223576481051e-8
21.639068657913203,0.25,-0.046111313727930155,4.023407257105498e-8
41.63906865791321,0.25,-0.023331405106605557,1.227588168105249e-8
81.6390686579132,0.25,-0.011708776130913154,4.494837592785949e-9
161.6390686579132,0.25,-0.005859975730246968,1.3551400813483868e-9
1.9323848163495112,0.45,26.50024821038085,44.36683780966789
2.832384816349511,0.45,-0.26740653235787926,0.0004164360019602909
3.832384816349511,0.45,-0.2258493094527861,0.00008642534993289092
6.832384816349511,0.45,-0.12928693748777736,0.0000018952476846095148
11.832384816349512,0.45,-0.07281979811511131,1.2460706182285938e-7
21.83238481634951,0.45,-0.03838981239266142,1.552414409138861e-7
41.83238481634951,0.45,-0.019626687330615334,8.045112559142723e-8
81.83238481634952,0.45,-0.009903564991455813,2.2674885427441852e-8
161.8323848163495,0.45,-0.004970493335497396,5.536704328197813e-9
2.193855751666636,0.6,-1708480.221243697,2904897.8246480105
3.093855751666636,0.6,-0.18211487562085563,0.0006901345676085434
4.093855751666636,0.6,-0.15758951177806496,0.0001089716007668924
7.093855751666636,0.6,-0.09559431977012355,0.000004632247111407725
12.093855751666636,0.6,-0.055727200600080073,1.359323258073567e-7
22.093855751666638,0.6,-0.030025057400174977,2.3859314523059444e-7
42.09385575166664,0.6,-0.015539967455813652,1.3430703044179493e-7
82.09385575166664,0.6,-0.00789300351327861,3.768267406669008e-8
162.09385575166664,0.6,-0.003974909085196372,1.1578930953864104e-8
