"p","e","z1"
1.615631562979778,0.1,-0.46183577838616996
2.515631562979778,0.1,0.039835983178727274
3.515631562979778,0.1,0.1083776173838784
6.515631562979777,0.1,0.1051119381773998
11.515631562979777,0.1,0.07237302564277284
21.515631562979777,0.1,0.042545176148303505
41.51563156297978,0.1,0.023013265592544265
81.51563156297978,0.1,0.011948320457328365
161.5156315629798,0.1,0.006082989357865375
1.739068657913204,0.25,-0.8126518244953316
2.639068657913204,0.25,-0.02085834842500095
3.639068657913204,0.25,0.08993991284708536
6.639068657913204,0.25,0.09858828244809811
11.639068657913203,0.25,0.06827542425620142
21.639068657913203,0.25,0.0401927963596564
41.63906865791321,0.25,0.021761911215517588
81.6390686579132,0.25,0.011305845473929994
161.6390686579132,0.25,0.005758031177846906
1.9323848163495112,0.45,-1.174026120546887
2.832384816349511,0.45,-0.11066313018745635
3.832384816349511,0.45,0.05466980049476251
6.832384816349511,0.45,0.08293822788868413
11.832384816349512,0.45,0.05806141625349333
21.83238481634951,0.45,0.03417457144738583
41.83238481634951,0.45,0.0185013423534138
81.83238481634952,0.45,0.009613418372701453
161.8323848163495,0.45,0.004896910169197906
2.193855751666636,0.6,-0.9318751425592787
3.093855751666636,0.6,-0.11210241106394567
4.093855751666636,0.6,0.03571424038979125
7.093855751666636,0.6,0.06606036047305552
12.093855751666636,0.6,0.04652008437500282
22.093855751666638,0.6,0.027376585197292063
42.09385575166664,0.6,0.014825878059948804
82.09385575166664,0.6,0.007707662638508204
162.09385575166664,0.6,0.003927722370437767
